SPECIES,LATITUDE,LONGITUDE
"Myotis nattereri (Kuhl 1817)",54.120630000000006,-1.58076
"Myotis nattereri (Kuhl 1817)",52.37692,1.59083
"Myotis nattereri (Kuhl 1817)",53.05699,-1.0540200000000002
"Myotis nattereri (Kuhl 1817)",53.23251,0.0136
"Myotis nattereri (Kuhl 1817)",50.466429999999995,-3.79786
"Myotis nattereri (Kuhl 1817)",52.5833,0.57418
"Myotis nattereri (Kuhl 1817)",52.682919999999996,-1.7425700000000002
"Myotis nattereri (Kuhl 1817)",56.46,-3.16
"Myotis nattereri (Kuhl 1817)",54.253040000000006,-2.8687
"Myotis nattereri (Kuhl 1817)",52.81174,-0.77745
"Myotis nattereri (Kuhl 1817)",51.586259999999996,-2.15295
"Myotis nattereri (Kuhl 1817)",52.2,-3.2
"Myotis nattereri (Kuhl 1817)",52.68975,-1.2395100000000001
"Myotis nattereri (Kuhl 1817)",52.4,-3.9
"Myotis nattereri (Kuhl 1817)",55.27123,-1.6789
"Myotis nattereri (Kuhl 1817)",52.55239,-0.9174100000000001
"Myotis nattereri (Kuhl 1817)",54.38006,-1.31639
"Myotis nattereri (Kuhl 1817)",53.46747,-0.72856
"Myotis nattereri (Kuhl 1817)",51.277770000000004,1.34661
"Myotis nattereri (Kuhl 1817)",53.868809999999996,-2.4653099999999997
"Myotis nattereri (Kuhl 1817)",52.90728000000001,-1.60743
"Myotis nattereri (Kuhl 1817)",53.771809999999995,-0.61317
"Myotis nattereri (Kuhl 1817)",53.1458,-0.18485
"Myotis nattereri (Kuhl 1817)",50.77978,-0.78864
"Myotis nattereri (Kuhl 1817)",52.2,-3.4
"Myotis nattereri (Kuhl 1817)",57.51,-3.84
"Myotis nattereri (Kuhl 1817)",51.7,-4.5
"Myotis nattereri (Kuhl 1817)",53.1,-3.3
"Myotis nattereri (Kuhl 1817)",52.08166,0.26059
"Myotis nattereri (Kuhl 1817)",51.2757,0.07742
"Myotis nattereri (Kuhl 1817)",52.1715,0.26514
"Myotis nattereri (Kuhl 1817)",51.00612,0.06535
"Myotis nattereri (Kuhl 1817)",51.27816,-0.06586
"Myotis nattereri (Kuhl 1817)",52.1686,0.41123999999999994
"Myotis nattereri (Kuhl 1817)",51.38385,-2.21693
"Myotis nattereri (Kuhl 1817)",50.91868,-0.0808
"Myotis nattereri (Kuhl 1817)",51.18584,0.07338
"Myotis nattereri (Kuhl 1817)",51.35712,0.51202
"Myotis nattereri (Kuhl 1817)",53.540490000000005,-1.4733399999999999
"Myotis nattereri (Kuhl 1817)",51.741009999999996,-1.20485
"Myotis nattereri (Kuhl 1817)",50.92664,-0.64965
"Myotis nattereri (Kuhl 1817)",53.3,-3.4
"Myotis nattereri (Kuhl 1817)",51.9,-4.7
"Myotis nattereri (Kuhl 1817)",50.90794,0.48775
"Myotis nattereri (Kuhl 1817)",51.2608,0.79345
"Myotis nattereri (Kuhl 1817)",51.104690000000005,-0.50163
"Myotis nattereri (Kuhl 1817)",56.23,-3.05
"Myotis nattereri (Kuhl 1817)",54.79925,-2.39039
"Myotis nattereri (Kuhl 1817)",51.915440000000004,-0.6202
"Myotis nattereri (Kuhl 1817)",51.28447,-0.49578999999999995
"Myotis nattereri (Kuhl 1817)",52.00352,-0.47181000000000006
"Myotis nattereri (Kuhl 1817)",56.32,-2.89
